0,1,2,3
838.940002441,837.29498291,835.650024414,837.29498291
837.29498291,838.940002441,850.454833984,842.229919434
835.650024414,840.584960938,848.809875488,834.005004883
834.005004883,848.809875488,850.454833984,835.650024414
832.360046387,852.09979248,843.874938965,832.360046387
835.650024414,845.519897461,852.09979248,845.519897461
837.29498291,840.584960938,855.389770508,852.09979248
832.360046387,850.454833984,843.874938965,832.360046387
834.005004883,852.09979248,838.940002441,827.425109863
843.874938965,850.454833984,840.584960938,835.650024414
838.940002441,848.809875488,842.229919434,840.584960938
835.650024414,837.29498291,838.940002441,838.940002441
838.940002441,830.715087891,842.229919434,834.005004883
835.650024414,835.650024414,830.715087891,827.425109863
829.070068359,830.715087891,827.425109863,827.425109863
827.425109863,829.070068359,835.650024414,834.005004883
825.780151367,834.005004883,825.780151367,829.070068359
835.650024414,838.940002441,820.845214844,825.780151367
830.715087891,832.360046387,837.29498291,835.650024414
819.200195312,830.715087891,832.360046387,827.425109863
817.555236816,827.425109863,837.29498291,830.715087891
810.975280762,829.070068359,842.229919434,820.845214844
825.780151367,824.135131836,843.874938965,829.070068359
822.49017334,819.200195312,842.229919434,832.360046387
817.555236816,810.975280762,842.229919434,822.49017334
822.49017334,809.330322266,840.584960938,832.360046387
819.200195312,815.91027832,829.070068359,815.91027832
822.49017334,807.68536377,838.940002441,832.360046387
825.780151367,807.68536377,838.940002441,834.005004883
825.780151367,814.265258789,835.650024414,829.070068359
827.425109863,810.975280762,847.164855957,840.584960938
827.425109863,820.845214844,843.874938965,834.005004883
830.715087891,830.715087891,840.584960938,825.780151367
835.650024414,829.070068359,845.519897461,832.360046387
830.715087891,834.005004883,843.874938965,834.005004883
827.425109863,834.005004883,843.874938965,829.070068359
832.360046387,825.780151367,848.809875488,842.229919434
835.650024414,835.650024414,842.229919434,837.29498291
840.584960938,832.360046387,850.454833984,850.454833984
842.229919434,829.070068359,853.744812012,860.324707031
842.229919434,834.005004883,847.164855957,853.744812012
848.809875488,827.425109863,852.09979248,853.744812012
847.164855957,827.425109863,850.454833984,842.229919434
842.229919434,830.715087891,848.809875488,837.29498291
834.005004883,829.070068359,850.454833984,837.29498291
837.29498291,827.425109863,843.874938965,830.715087891
845.519897461,814.265258789,852.09979248,850.454833984
850.454833984,806.040344238,853.744812012,852.09979248
847.164855957,809.330322266,850.454833984,852.09979248
847.164855957,799.460449219,850.454833984,858.679748535
840.584960938,804.395385742,848.809875488,847.164855957
832.360046387,810.975280762,840.584960938,834.005004883
835.650024414,806.040344238,843.874938965,840.584960938
834.005004883,809.330322266,850.454833984,842.229919434
840.584960938,804.395385742,853.744812012,848.809875488
842.229919434,804.395385742,848.809875488,845.519897461
840.584960938,804.395385742,845.519897461,838.940002441
842.229919434,810.975280762,840.584960938,829.070068359
845.519897461,804.395385742,852.09979248,845.519897461
840.584960938,804.395385742,848.809875488,845.519897461
840.584960938,806.040344238,850.454833984,842.229919434
832.360046387,806.040344238,845.519897461,832.360046387
835.650024414,802.750427246,843.874938965,838.940002441
832.360046387,809.330322266,835.650024414,834.005004883
835.650024414,801.105407715,845.519897461,843.874938965
834.005004883,801.105407715,842.229919434,842.229919434
842.229919434,802.750427246,847.164855957,845.519897461
847.164855957,802.750427246,847.164855957,853.744812012
843.874938965,817.555236816,830.715087891,842.229919434
848.809875488,815.91027832,847.164855957,845.519897461
845.519897461,814.265258789,840.584960938,842.229919434
845.519897461,809.330322266,843.874938965,845.519897461
845.519897461,807.68536377,845.519897461,850.454833984
842.229919434,807.68536377,837.29498291,838.940002441
838.940002441,799.460449219,845.519897461,838.940002441
832.360046387,806.040344238,835.650024414,830.715087891
835.650024414,797.815490723,840.584960938,838.940002441
835.650024414,802.750427246,835.650024414,838.940002441
835.650024414,801.105407715,837.29498291,838.940002441
830.715087891,796.170471191,829.070068359,830.715087891
832.360046387,792.880554199,835.650024414,845.519897461
832.360046387,802.750427246,832.360046387,834.005004883
825.780151367,806.040344238,838.940002441,824.135131836
829.070068359,809.330322266,834.005004883,822.49017334
824.135131836,807.68536377,830.715087891,822.49017334
824.135131836,810.975280762,829.070068359,822.49017334
830.715087891,806.040344238,827.425109863,834.005004883
825.780151367,810.975280762,820.845214844,824.135131836
824.135131836,815.91027832,817.555236816,810.975280762
830.715087891,812.620300293,820.845214844,819.200195312
834.005004883,809.330322266,830.715087891,835.650024414
837.29498291,802.750427246,838.940002441,838.940002441
